id,category,reviewTag*,title,desc,linkToRepository,linkToOpenedIssue,fixed (y/n/m),fixingCommit,cd-linter-bug,comment-labels,fix-labels,"notes (e.g., how they fix it,)",reaction,lastChecked,state,isAssigned,numUpvotes,numDownvotes,numComments,label*,monitoringTag*,monitoringComment,contributors,contributorsSinceIssue,commitsSinceIssue,fixingCommit-message,resolution-time
mauriciobaeza__empresa-libre__Versioning__requirementstxt__falcon__missing,Versioning,missing,GitLab config: 'requirements.txt' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/mauriciobaeza/empresa-libre,https://gitlab.com/mauriciobaeza/empresa-libre/issues/368,,,,,,,,200205-180809,deleted,FALSE,0,0,0,NULL,reaction:negative,NULL,-1,-1,-1,,
deltares__rtc-tools__Versioning__gitlabyaml__codecov__missing,Versioning,missing,GitLab config: '.gitlab-ci.yml' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/deltares/rtc-tools,https://gitlab.com/deltares/rtc-tools/issues/1117,n,,pip-install,,,pip install codecov,,200205-180809,closed,FALSE,0,0,0,NULL,reaction:negative,NULL,12,4,76,,
flatiron-dc__learning-git2__Job-Retry__s3-branch-deployment,Job-Retry,always,GitLab config: Job 's3-branch-deployment' is retried in case of failures,DROPPED FOR NOW,https://gitlab.com/flatiron-dc/learning-git2,https://gitlab.com/flatiron-dc/learning-git2/issues/1,,,,,,,,200205-180811,opened,FALSE,0,0,0,NULL,NULL,NULL,8,0,0,,
svsamipillai__gitlab-hw__Vulnerability__--api-key-e2fbb215-565e-4274-8f2b-73f7670afa9f,Vulnerability,NULL,GitLab config: Hard-coded credentials in '.gitlab-ci.yml',DROPPED FOR NOW,https://gitlab.com/svsamipillai/gitlab-hw,https://gitlab.com/svsamipillai/gitlab-hw/issues/1,,,,,,,,200205-180813,opened,FALSE,0,0,0,NULL,NULL,NULL,17,0,0,,
indybay__indybay-active__Manual-Job__build,Manual-Job,NULL,GitLab config: Job 'build' is manually triggered,DROPPED FOR NOW,https://gitlab.com/indybay/indybay-active,https://gitlab.com/indybay/indybay-active/issues/265,n,,deploy-phase,,,,,200205-180813,closed,FALSE,0,0,0,NULL,reaction:negative,NULL,5,2,22,,
harbottle__puppet-mattermost__Manual-Job__push,Manual-Job,NULL,GitLab config: Job 'push' is manually triggered,DROPPED FOR NOW,https://gitlab.com/harbottle/puppet-mattermost,https://gitlab.com/harbottle/puppet-mattermost/issues/47,n,,deploy-phase,,,"in a previous commit, they voluntarely introduced the smell (https://gitlab.com/harbottle/puppet-mattermost/commit/d536063dc84e277da7798dca963bdbf8afcb7d88)",,200205-180816,closed,FALSE,0,0,0,NULL,NULL,NULL,11,3,17,,
agrumery__aGrUM__Job-Retry__windows_agrum_2017,Job-Retry,always,GitLab config: Job 'windows_agrum_2017' is retried in case of failures,DROPPED FOR NOW,https://gitlab.com/agrumery/aGrUM,https://gitlab.com/agrumery/aGrUM/issues/37,y,52a4c77a6b89a755ed6f51307cd881edd01d911f,,fixed-independently,temporary-smell,He fixed as we said. But he introduced again the smell as temporal patch (https://gitlab.com/agrumery/aGrUM/commit/2beda8596de07539eb0c31c637216ad7acdb4cf8),positive,200205-180818,closed,TRUE,0,0,1,NULL,decision:pending,NULL,24,7,187,"[ci] removing ""retry"" from tests",9993338524
sofreeus__aghi2gitlab__Manual-Job__dev,Manual-Job,NULL,GitLab config: Job 'dev' is manually triggered,DROPPED FOR NOW,https://gitlab.com/sofreeus/aghi2gitlab,https://gitlab.com/sofreeus/aghi2gitlab/issues/4,,,,,,,,200205-180821,opened,FALSE,0,0,0,NULL,NULL,NULL,5,0,0,,
georgedorn__wonambi__Versioning__gitlabyaml__coverage__missing,Versioning,missing,GitLab config: '.gitlab-ci.yml' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/georgedorn/wonambi,https://gitlab.com/georgedorn/wonambi/issues/75,,,,,,,,200205-180821,opened,FALSE,0,0,0,NULL,NULL,NULL,3,0,0,,
fluidattacks__asserts__Job-Retry__test,Job-Retry,always,GitLab config: Job 'test' is retried in case of failures,DROPPED FOR NOW,https://gitlab.com/fluidattacks/asserts,https://gitlab.com/fluidattacks/asserts/issues/700,y,0b9adaa3110348b9d1cdcbae05f0de7ee785573b,,"use-in-paper, remove-all, flaky-tool",,"use-in-paper, they even removed all the other smells looking at our project repo",positive,200205-180831,closed,TRUE,2,0,3,NULL,use-in-paper,Ultra-positive reaction to the issue...,19,7,492,"feat(job): #700 gitlab config

- Lint our gitlab-ci to comply with the CD-Linter tool developed
  at the University of Zurich
- no allow_failures (already done)
- no credentials (already done)
- no generic job retries (done in this commiti)
- no manual jobs (already done)
- no missing versions in requirements (already done)
- Pass artifacts as context instead via API which sometimes fail
- Remove an unused job that was commented in the gitlab ci
- Shift left a check that can be done pre-MR instead of
  breaking the build at MR time
- Only one deploy stage is needed as they do not depend on each other
- Removes one unneded script ""delete branches"" as it
  only close MRs that are left over night which is a nuisance
- Remove an script that checks if the branch has been rebased
  which is an stopper of devops for repositories with high concurrency
  where rebasing online is a must

Closes #700
",40597408
vuedoc__parser__Job-Allow-Failure__security-scan,Job-Allow-Failure,NULL,GitLab config: Failures in job 'security scan' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/vuedoc/parser,https://gitlab.com/vuedoc/parser/issues/54,,,,,,,,200205-180824,closed,TRUE,1,0,2,NULL,decision:accept,NULL,6,0,0,,
postmarketOS__build-postmarketos-org__Manual-Job__test-phpcs,Manual-Job,NULL,GitLab config: Job 'test:phpcs' is manually triggered,DROPPED FOR NOW,https://gitlab.com/postmarketOS/build.postmarketos.org,https://gitlab.com/postmarketOS/build.postmarketos.org/issues/28,y,a56921a0d0bd1b1f3fec0913c416686bb1fb6722,,dead-branch,job-removed,they agreed with the problem and the issue is not there. They were started from scratch but the problem was not introduced. So they learned from mistakes.I won't compute fix rate.,not-now,200205-180841,closed,FALSE,0,0,3,NULL,long-lived-branch,The current master is not the active development branch.,3,3,315,"gitlab-ci: run flake8

Running the pytest testsuite gets stuck in gitlab ci, so I've not
enabled it in this commit. See #31.
",4412981296
coala__package_manager__Versioning__requirementstxt__hg-https---bitbucket-org-jayvdb-sarge-win-reg-lookup-egg-sarge__missing,Versioning,missing,GitLab config: 'requirements.txt' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/coala/package_manager,https://gitlab.com/coala/package_manager/issues/275,,,,,,,,200205-180826,opened,FALSE,0,1,1,NULL,decision:reject,NULL,32,0,0,,
jonocarroll__mathpix__Job-Allow-Failure__r-oldrel,Job-Allow-Failure,NULL,GitLab config: Failures in job 'r-oldrel' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/jonocarroll/mathpix,https://gitlab.com/jonocarroll/mathpix/issues/7,,,,,,,,200205-180827,opened,FALSE,0,0,0,NULL,NULL,NULL,1,0,0,,
kb__block__Vulnerability__-SECRET_KEY--sk_test-,Vulnerability,NULL,GitLab config: Hard-coded credentials in '.gitlab-ci.yml',DROPPED FOR NOW,https://gitlab.com/kb/block,https://gitlab.com/kb/block/issues/1,,,,,,,,200205-180828,closed,FALSE,0,1,2,NULL,reaction:negative,NULL,6,1,6,,
Orange-OpenSource__gitlab-buildpkg-tools__Manual-Job__build_ubuntu_artful,Manual-Job,NULL,GitLab config: Job 'build_ubuntu_artful' is manually triggered,DROPPED FOR NOW,https://gitlab.com/Orange-OpenSource/gitlab-buildpkg-tools,https://gitlab.com/Orange-OpenSource/gitlab-buildpkg-tools/issues/14,n,,,,,,,200205-180845,closed,FALSE,1,0,0,NULL,NULL,NULL,7,7,99,,
pushrocks__smartcli__Job-Allow-Failure__pages,Job-Allow-Failure,NULL,GitLab config: Failures in job 'pages' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/pushrocks/smartcli,https://gitlab.com/pushrocks/smartcli/issues/3,,,,,,,,200205-180830,closed,FALSE,0,0,0,NULL,decision:ignored,NULL,8,0,0,,
neachdainn__nng-rs__Job-Allow-Failure__nightly,Job-Allow-Failure,NULL,GitLab config: Failures in job 'nightly' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/neachdainn/nng-rs,https://gitlab.com/neachdainn/nng-rs/issues/38,n,,,"nightly-build, no-trust, flaky-tool",,,negative,200205-180847,closed,FALSE,0,2,5,NULL,decision:reject,Maintainer has offered an interview...,5,3,35,,
larsyunker__unithandler__Versioning__requirementstxt__numpy__missing,Versioning,missing,GitLab config: 'requirements.txt' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/larsyunker/unithandler,https://gitlab.com/larsyunker/unithandler/issues/12,y,b93e79a9d229cc33feee90c48fe751a60aea045f,,agreement,wrong-fix,he set a lower bound,positive,200205-180848,closed,FALSE,0,0,2,NULL,decision:fix,NULL,1,2,10,"added version specification
",291505243
covcom__continuous-integration-example__Vulnerability__--api-key-95023c27-5a9d-4250-a3fd-d2e19e0dac02,Vulnerability,NULL,GitLab config: Hard-coded credentials in '.gitlab-ci.yml',DROPPED FOR NOW,https://gitlab.com/covcom/continuous-integration-example,https://gitlab.com/covcom/continuous-integration-example/issues/1,,,,,,,,200205-180839,opened,FALSE,0,0,0,NULL,NULL,NULL,1,0,0,,
runarberg__trompt__Job-Allow-Failure__test-unstable,Job-Allow-Failure,NULL,GitLab config: Failures in job 'test:unstable' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/runarberg/trompt,https://gitlab.com/runarberg/trompt/issues/3,,,,,,,,200205-180840,opened,FALSE,0,0,0,NULL,NULL,NULL,2,0,0,,
sherpa-team__sherpa__Manual-Job__test-clang-strict-LO_Z,Manual-Job,NULL,GitLab config: Job 'test-clang-strict-LO_Z' is manually triggered,DROPPED FOR NOW,https://gitlab.com/sherpa-team/sherpa,https://gitlab.com/sherpa-team/sherpa/issues/194,y,2aee2ba0aa34788e48779add088955009a7e06d4,,,,,,200205-180851,closed,FALSE,0,0,0,NULL,reaction:negative,NULL,36,16,58,"CI and Manual Overhaul

This adds a ci-pipeline configuration and converts the documentation to the spinx-doc format (to play along with the website).

## Details

### Gitlab CI

* the jobs now use a prefabricated docker image (see https://gitlab.com/vale9811/sherpa-docker-build) this reduces the setup time
* the build steps use ccache and the gold linker to speed up compilation
* the documentation is being rebuilt only on changes
* on tags the ci:
  * triggers a website rebuild on tags (to refresh the releases page)
  * makes a `make dist` tarball and attaches it to the release
* and some smaller nitpicks

### Documentation:

* converted the documentation to [sphinx-doc](https://www.sphinx-doc.org/en/master/)
* this allows to generate most common formats out of the sources (even a `manpage`)
* to enable the manual when compiling, configure with `--enable-manual`
  * when this is enabled and the dist tarball is generated with `make dist` it will include the manual in `info`, `html` and `pdf` format as well as the `manpage`
* for more details see `Manual/readme.md`
",3600843163
elad-noor__equilibrator-api__Versioning__gitlabyaml__wheel__missing,Versioning,missing,GitLab config: '.gitlab-ci.yml' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/elad.noor/equilibrator-api,https://gitlab.com/elad.noor/equilibrator-api/issues/48,,,,,,,,200205-180843,deleted,FALSE,0,0,0,NULL,NULL,NULL,-1,-1,-1,,
jamietanna__jvt-me__Job-Allow-Failure__test_links,Job-Allow-Failure,NULL,GitLab config: Failures in job 'test_links' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/jamietanna/jvt.me,https://gitlab.com/jamietanna/jvt.me/issues/664,y,0e056c88f632bfd5f186b9d0272f7033eec03795,,let-it-run,,"they agree with the general problem and they remove when refactoring the jobs. Now no more allow failures in the jobs, so they learned.",not-now,200205-180901,closed,FALSE,0,1,1,NULL,NULL,NULL,2,2,2173,"Convert pipeline to full Docker multi-stage build

To speed up the deployment of the site, we can replace the individual
build jobs to replace it with a single stage that only pushes the built
branch if the tests pass.

This means we can get rid of the `Dockerfile.test` and the test stage,
as it's now occurring within the build phase.

We can also remove the `Dockerfile.deploy` as all we need is our gem
dependencies and `git` and `ssh`, remembering to check out our Git repo,
as we had previously removed set `GIT_STRATEGY: none` so we could bundle
the deployment configuration into the deploy image.

We need to make sure that we copy all the right files in for testing, as
we don't need everything in it, even though it increases the work we
have to do to copy all the right bits in.

Unfortunately the `theme_branch` Rake task doesn't translate to the new
build model, as it needs access to `.git` and `themes/`. Instead of
copying those in, as well, we can instead move the script out to a
separate build job, retaining the nice Ruby code, in a super quick
execution alongside our other jobs.

Actually closes #210, as this replaces the other `Dockerfile`s to give
us a single `Dockerfile` as a source-of-truth.
",5144456847
psono__psono-server__Versioning__requirementstxt__six__missing,Versioning,missing,GitLab config: 'requirements.txt' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/psono/psono-server,https://gitlab.com/psono/psono-server/issues/73,y,bcab74ce3981ca533d9ab55b6029c07dc6f5121d,,prefer-last-version,,"@Seb, this guy did not like you!",not-now,200205-181110,closed,FALSE,0,1,5,NULL,reason:benefitoffutureupdates,NULL,7,3,94,"fixtures for python versions
",8845580793
dalton__dalton__Job-Allow-Failure__nightly-mpi-int64,Job-Allow-Failure,NULL,GitLab config: Failures in job 'nightly-mpi-int64' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/dalton/dalton,https://gitlab.com/dalton/dalton/issues/99,n,,,"nightly-build, let-it-run",job-removed,,not-now,200205-181115,closed,FALSE,0,0,3,NULL,decision:reject,NULL,70,11,80,,
angreal__angreal__Job-Allow-Failure__init_gitlab_python,Job-Allow-Failure,NULL,GitLab config: Failures in job 'init_gitlab_python' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/angreal/angreal,https://gitlab.com/angreal/angreal/issues/81,n,,,let-it-run,,the job was in the template_test stage. Sounds fishy,negative,200205-181120,closed,FALSE,0,1,1,NULL,NULL,NULL,4,3,32,,
eyeo__websites__web-adblockplus-org__Manual-Job__tests,Manual-Job,NULL,GitLab config: Job 'tests' is manually triggered,DROPPED FOR NOW,https://gitlab.com/eyeo/websites/web.adblockplus.org,https://gitlab.com/eyeo/websites/web.adblockplus.org/issues/306,,,,,,,,200205-180849,deleted,FALSE,1,0,3,NULL,temporary,NULL,-1,-1,-1,,
radek-sprta__mariner__Vulnerability__--token-69b7f6f2-c281-4b78-862d-396e8e6f8b1b,Vulnerability,NULL,GitLab config: Hard-coded credentials in '.gitlab-ci.yml',DROPPED FOR NOW,https://gitlab.com/radek-sprta/mariner,https://gitlab.com/radek-sprta/mariner/issues/15,,,,,,,,200205-180849,closed,FALSE,0,0,1,NULL,unknown,NULL,1,1,8,,
gnaar__piste__Vulnerability__--token-d9c2a4a7-e06f-4634-b2ae-fafc20ca92d2,Vulnerability,NULL,GitLab config: Hard-coded credentials in '.gitlab-ci.yml',DROPPED FOR NOW,https://gitlab.com/gnaar/piste,https://gitlab.com/gnaar/piste/issues/1,,,,,,,,200205-180851,opened,FALSE,0,0,0,NULL,NULL,NULL,1,0,0,,
john-carroll-p__rschedule__Job-Allow-Failure__dependency_scanning,Job-Allow-Failure,NULL,GitLab config: Failures in job 'dependency_scanning' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/john.carroll.p/rschedule,https://gitlab.com/john.carroll.p/rschedule/issues/32,y,,,job-removed,,the whole job was disabled and no smells of the same type are detected,,200205-181122,closed,FALSE,0,1,0,NULL,reaction:negative,NULL,1,1,69,,
experimentslabs__engine_elabs__Job-Allow-Failure__bundle-outdated,Job-Allow-Failure,NULL,GitLab config: Failures in job 'bundle/outdated' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/experimentslabs/engine_elabs,https://gitlab.com/experimentslabs/engine_elabs/issues/81,n,,,"depedency-scanning, agreement",,"it only report outdated packages, the job is related to bundling so can fail",not-now,200205-181131,closed,FALSE,0,1,3,NULL,decision:reject,NULL,4,2,34,,
inkscape__inkscape-web__Versioning__requirementstxt__django-extratest__any-upper-version,Versioning,any-upper-version,GitLab config: 'requirements.txt' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/inkscape/inkscape-web,https://gitlab.com/inkscape/inkscape-web/issues/416,n,,,"tool-upgrade, prefer-last-version",,,negative,200205-181133,closed,FALSE,0,2,6,NULL,reason:benefitoffutureupdates,NULL,22,6,120,,
litecord__litecord__Versioning__requirementstxt__pipenv__missing,Versioning,missing,GitLab config: 'requirements.txt' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/litecord/litecord,https://gitlab.com/litecord/litecord/issues/55,n,,,"tool-upgrade, no-trust",,,negative,200205-181138,closed,FALSE,0,0,3,NULL,reaction:negative,NULL,16,3,94,,
linagora__petals-cockpit__Job-Retry__test-frontend,Job-Retry,always,GitLab config: Job 'test-frontend' is retried in case of failures,DROPPED FOR NOW,https://gitlab.com/linagora/petals-cockpit,https://gitlab.com/linagora/petals-cockpit/issues/556,n,,,flaky-tool,self-admitted,they added a comment in the code for that. They say that those tests are fine but might unpredictably fail because of the imperfection of test frameworks.,not-now,200205-181143,closed,FALSE,0,1,2,NULL,temporary,NULL,10,7,117,,
adventuscalendar__utils__docker-prototool__Vulnerability__-token-6cb5281522c5b60e528e806335e6ad,Vulnerability,NULL,GitLab config: Hard-coded credentials in '.gitlab-ci.yml',DROPPED FOR NOW,https://gitlab.com/adventuscalendar/utils/docker-prototool,https://gitlab.com/adventuscalendar/utils/docker-prototool/issues/1,,,,,,,,200205-180910,deleted,FALSE,0,0,0,NULL,NULL,NULL,-1,-1,-1,,
juhani__go-semrel-gitlab__Manual-Job__test,Manual-Job,NULL,GitLab config: Job 'test' is manually triggered,DROPPED FOR NOW,https://gitlab.com/juhani/go-semrel-gitlab,https://gitlab.com/juhani/go-semrel-gitlab/issues/84,n,,,,,,,200205-181145,closed,FALSE,0,0,0,NULL,reaction:negative,NULL,3,1,4,,
uninen__heimlich__Vulnerability__-SECRET_KEY--j8k0b21ev36-xw3dtdmy8-shuavf5e-yb0h3eu5a3-!nqq-jna-,Vulnerability,NULL,GitLab config: Hard-coded credentials in '.gitlab-ci.yml',DROPPED FOR NOW,https://gitlab.com/uninen/heimlich,https://gitlab.com/uninen/heimlich/issues/21,,,,,,,,200205-181108,closed,FALSE,1,0,4,NULL,decision:fix,NULL,1,1,10,,
GitLabRGI__erdc__geopackage-python__Versioning__requirementstxt__lxml__missing,Versioning,missing,GitLab config: 'requirements.txt' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/GitLabRGI/erdc/geopackage-python,https://gitlab.com/GitLabRGI/erdc/geopackage-python/issues/39,,,,,,,,200205-181109,deleted,FALSE,0,0,0,NULL,NULL,NULL,-1,-1,-1,,
bitseater__meteo__Job-Allow-Failure__package-snap,Job-Allow-Failure,NULL,GitLab config: Failures in job 'package:snap' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/bitseater/meteo,https://gitlab.com/bitseater/meteo/issues/125,y,1ba18b07cbd8d0b19f266311eb03cec2267f2180,,use-in-paper,,,positive,200205-181149,closed,TRUE,1,0,1,NULL,request-mr,"While the maintainer has originally asked for an MR, Carmines mining identified that it has been fixed since.",15,3,22,"Allow failure on snap build
",3503753
r1dScripts__chatty_server__Versioning__requirementstxt__dnspython__missing,Versioning,missing,GitLab config: 'requirements.txt' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/r1dScripts/chatty_server,https://gitlab.com/r1dScripts/chatty_server/issues/3,,,,,,,,200205-181111,opened,FALSE,0,0,0,NULL,NULL,NULL,1,0,0,,
dataengi__marketing__www-dataengi-com__Manual-Job__check_links,Manual-Job,NULL,GitLab config: Job 'check_links' is manually triggered,DROPPED FOR NOW,https://gitlab.com/dataengi/marketing/www.dataengi.com,https://gitlab.com/dataengi/marketing/www.dataengi.com/issues/45,,,,,,,,200205-181112,deleted,FALSE,0,0,0,NULL,NULL,NULL,-1,-1,-1,,
phyohtetarkar__github-jobs__Manual-Job__build,Manual-Job,NULL,GitLab config: Job 'build' is manually triggered,DROPPED FOR NOW,https://gitlab.com/phyohtetarkar/github-jobs,https://gitlab.com/phyohtetarkar/github-jobs/issues/1,,,,,,,,200205-181113,opened,FALSE,0,0,0,NULL,NULL,NULL,1,0,0,,
